name,asin,keyword,price,stars,rating_count,url
"INDMEM NVMe PCIe SSD pour MacBook Air 2013-2017, MacBook Pro Retina 2013-2015, iMac 2013-2017, Mac Pro 2013, Mac Mini 2014 (mise à jour sur macOS 10.13 ou supérieur)",B083NRJQP8,SSD,139,"4,4 sur 5 étoiles",469 évaluations,https://www.amazon.fr/INDMEM-Interne-MacBook-2013-2017-2013-2015/dp/B083NRJQP8/ref=sr_1_121
"Crucial 250Go CT250MX500SSD1(Z) SSD interne MX500-jusqu’à 560 Mo/s (3D NAND, SATA, 2,5 pouces)",B0764WCXCV,SSD,€,"4,7 sur 5 étoiles",9 680 évaluations,https://www.amazon.fr/Crucial-CT250MX500SSD1-Interne-MX500-Pouces/dp/B0764WCXCV/ref=sr_1_120
Integral 1TB SSD 2.5'' SATA III V Series 2 Plus,B0BPMG8ZPQ,SSD,62,"5,0 sur 5 étoiles",1 évaluation,https://www.amazon.fr/Integral-1TB-SSD-SATA-Plus/dp/B0BPMG8ZPQ/ref=sr_1_119
Intel - SSD & Memory 660P Series 1.0TB M.2 80MM,B07JBQZ2MG,SSD,71,"4,6 sur 5 étoiles",322 évaluations,https://www.amazon.fr/INTEL-Memory-660P-1-0TB-80MM/dp/B07JBQZ2MG/ref=sr_1_118
"Crucial 2To CT2000MX500SSD1(Z) SSD interne MX500-jusqu’à 560 Mo/s (3D NAND, SATA, 2,5 pouces)",B078C515QL,SSD,149,"4,8 sur 5 étoiles",24 334 évaluations,https://www.amazon.fr/Crucial-CT2000MX500SSD1-Interne-MX500-Pouces/dp/B078C515QL/ref=sr_1_117
"KIOXIA 480GB EXCERIA, 2.5"" SSD, SATA 3.0 (6Gb/s), TLC Flash, 555MB/s Read, 540MB/s Write, Retail LTC10Z480GG8",B087CPLWKP,SSD,41,"4,6 sur 5 étoiles",510 évaluations,https://www.amazon.fr/Kioxia-LTC10Z480GG8-EXCERIA-SATA6GBIT-S2-5IN/dp/B087CPLWKP/ref=sr_1_116
"Mini PCI-E mSATA SSD à 2.5"" SATA Hard Disk Enclosure Case Converter Adaptateur pour Intel Samsung ASUS SSD",B00S6AO16K,SSD,12,"4,4 sur 5 étoiles",257 évaluations,https://www.amazon.fr/Cablecc-bo%C3%AEtier-convertisseur-adaptateur-Samsung/dp/B00S6AO16K/ref=sr_1_115
"Magix SSD Alpha EVO , SATA III 2,5"" 6 Gbps , Vitesses de lecture/écriture allant jusqu'à 500/490 Mo/s , 3D NAND MLC/TLC , Interne (120Go)",B07QYV2699,SSD,16,"4,5 sur 5 étoiles",214 évaluations,https://www.amazon.fr/Magix-Alpha-500Mb-Internal-120GB/dp/B07QYV2699/ref=sr_1_114
"Disque dur externe Seagate Ghost-Spider Special Edition FireCuda 2 To, USB 3.2 1re génération, voyants LED RVB personnalisables roses avec services Rescue (STKL2000419)",B0B6G51DJD,SSD,101,"4,5 sur 5 étoiles",1 592 évaluations,https://www.amazon.fr/Seagate-FireCuda-4e-g%C3%A9n%C3%A9ration-NVMe-1-4-ZP2000GM3A013/dp/B0B6G51DJD/ref=sr_1_113
ORICO Adaptateur de boîtier M.2 SATA SSD USB C 3.2 Gen1 6 Gbps Solid State Drive Aluminium Boîtier M2 Externe Support UASP pour B-Key B+M Key SATA NGFF SSD 2230/2242/2260/2280 (jusqu'à 4 To),B0B2VN78JK,SSD,25,"5,0 sur 5 étoiles",3 évaluations,https://www.amazon.fr/ORICO-Adaptateur-bo%C3%AEtier-Aluminium-Bo%C3%AEtier/dp/B0B2VN78JK/ref=sr_1_112
"Transcend Boîtier SSD/HDD 2.5"" SATA III USB 3.1 Gen 1 TS0GSJ25S3",B00JTNZP0Y,SSD,18,"4,3 sur 5 étoiles",2 681 évaluations,https://www.amazon.fr/Transcend-TS0GSJ25S3-Bo%C3%AEtier-pour-Disque/dp/B00JTNZP0Y/ref=sr_1_111
"GamerKing Disque SSD M.2 2242 64Go Interne Disque Dur 1to 512go 256go 128go Haute Performance pour Ordinateur Portable SATA III 6Gb / s Le Bureau (64Go, M.2 2242)",B091H1KB3Q,SSD,€,"4,4 sur 5 étoiles",11 évaluations,https://www.amazon.fr/GamerKing-Interne-Performance-Ordinateur-Portable/dp/B091H1KB3Q/ref=sr_1_110
"Solidigm™ P41 Plus Series 2TB PCIe GEN 4 NVMe 4.0 x4 M.2 2280 3D NAND Disque SSD Interne (2 to, M.2 80 mm, PCIe 4.0 x4)",B0B9855VGS,SSD,152,"4,7 sur 5 étoiles",23 évaluations,https://www.amazon.fr/SolidigmTM-Plus-PCIe-Disque-Interne/dp/B0B9855VGS/ref=sr_1_109
"Kingston KC600 SSD SKC600B/256G SSD Interne 2.5"" SATA Rev 3.0, 3D TLC, Chiffrement XTS-AES 256 bits - Kit de mise à niveau pour PC fixe/portable",B07ZG577VZ,SSD,56,"4,7 sur 5 étoiles",2 723 évaluations,https://www.amazon.fr/Kingston-Technology-SKC600B-256G-Chiffrement/dp/B07ZG577VZ/ref=sr_1_108
